GameID,TeamID,Date,Opponent,Location
1,1,12/2/2024,Opponent,Away
2,1,12/3/2024,Opponent,Home
3,1,12/4/2024,Opponent,Away
4,1,12/5/2024,Opponent,Home
5,1,12/6/2024,Opponent,Away
6,1,12/7/2024,Opponent,Home
7,1,12/8/2024,Opponent,Away
8,1,12/9/2024,Opponent,Home
9,1,12/10/2024,Opponent,Away
10,2,12/2/2024,Opponent,Home
11,2,12/3/2024,Opponent,Away
12,2,12/4/2024,Opponent,Home
13,2,12/5/2024,Opponent,Away
14,2,12/6/2024,Opponent,Home
15,2,12/7/2024,Opponent,Away
16,2,12/8/2024,Opponent,Home
17,2,12/9/2024,Opponent,Away
18,2,12/10/2024,Opponent,Home
19,3,12/2/2024,Opponent,Away
20,3,12/3/2024,Opponent,Home
21,3,12/4/2024,Opponent,Away
22,3,12/5/2024,Opponent,Home
23,3,12/6/2024,Opponent,Away
24,3,12/7/2024,Opponent,Home
25,3,12/8/2024,Opponent,Away
26,3,12/9/2024,Opponent,Home
27,3,12/10/2024,Opponent,Away
28,4,12/2/2024,Opponent,Home
29,4,12/3/2024,Opponent,Away
30,4,12/4/2024,Opponent,Home
31,4,12/5/2024,Opponent,Away
32,4,12/6/2024,Opponent,Home
33,4,12/7/2024,Opponent,Away
34,4,12/8/2024,Opponent,Home
35,4,12/9/2024,Opponent,Away
36,4,12/10/2024,Opponent,Home
37,5,12/2/2024,Opponent,Away
38,5,12/3/2024,Opponent,Home
39,5,12/4/2024,Opponent,Away
40,5,12/5/2024,Opponent,Home
41,5,12/6/2024,Opponent,Away
42,5,12/7/2024,Opponent,Home
43,5,12/8/2024,Opponent,Away
44,5,12/9/2024,Opponent,Home
45,5,12/10/2024,Opponent,Away
46,6,12/2/2024,Opponent,Home
47,6,12/3/2024,Opponent,Away
48,6,12/4/2024,Opponent,Home
49,6,12/5/2024,Opponent,Away
50,6,12/6/2024,Opponent,Home
51,6,12/7/2024,Opponent,Away
52,6,12/8/2024,Opponent,Home
53,6,12/9/2024,Opponent,Away
54,6,12/10/2024,Opponent,Home
55,7,12/2/2024,Opponent,Away
56,7,12/3/2024,Opponent,Home
57,7,12/4/2024,Opponent,Away
58,7,12/5/2024,Opponent,Home
59,7,12/6/2024,Opponent,Away
60,7,12/7/2024,Opponent,Home
61,7,12/8/2024,Opponent,Away
62,7,12/9/2024,Opponent,Home
63,7,12/10/2024,Opponent,Away
64,8,12/2/2024,Opponent,Home
65,8,12/3/2024,Opponent,Away
66,8,12/4/2024,Opponent,Home
67,8,12/5/2024,Opponent,Away
68,8,12/6/2024,Opponent,Home
69,8,12/7/2024,Opponent,Away
70,8,12/8/2024,Opponent,Home
71,8,12/9/2024,Opponent,Away
72,8,12/10/2024,Opponent,Home
